"Subject","ID","Context","Stimulus","Truth Value","RT","Category","Correct","Check","PrsntOrd","Column1",,,
100,27,"Tout le monde fait très attention pendant ce cours : ","personne ne dit mot pendant une heure.","V",4.924,"Critical4 NegSub","V","",2,"",,,
100,28,"Beaucoup de gens se lèvent très tôt pendant la semaine, ","personne ne fait ça le dimanche.","V",7.73,"Critical4 NegSub","V","",40,"",,,
100,29,"Tous les meubles d'Ikea viennent avec des notices de montage : ","personne ne lit ça en général.","V",10.01,"Critical4 NegSub","V","",14,"",,,
100,30,"Les oeufs sont difficiles à digérer. On en mange plutôt le matin ou le midi : ","personne ne mange ça le soir. ","F",22.75,"Critical4 NegSub","F","",16,"",,,
100,31,"Les mini-jupes sont super à la mode : ","mais personne ne met ça à l'église.","F",6.01,"Critical4 NegSub","F","",22,"",,,
100,32,"Dans la brousse, les gens se promènent tout nu : ","personne ne voit ça ici.","F",3.81,"Critical4 NegSub","F","",26,"",,,
100,33,"Il y a un match de foot cet après-midi :","tout le monde va au stade.","F",3.995,"Control","F","",5,"",,,
100,34,"La leçon d'aujourd'hui n'était pas trop claire :","chaque élève avait des questions de clarification.","V",4.571,"Control","V","",31,"",,,
100,35,"Son ordi est cassé :","Alain va en acheter un nouveau.","F",2.091,"Control","F","",38,"",,,
100,36,"Il fait vraiment très beau aujourd'hui :","tout le monde est dehors.","F",3.06,"Control","F","",29,"",,,
100,37,"Demain, c'est un long week-end :","tout le monde part à la campagne.","V",4.291,"Control","V","",13,"",,,
100,38,"Le printemps est arrivé :","tous les arbres sont en fleurs.","F",3.907,"Control","F","",18,"",,,
100,39,"Aujourd'hui les gens ne se parlent plus face à face :","tout le monde utilise son téléphone portable.","V",5.858,"Control","V","",25,"",,,
100,40,"C'est une habitude chez nous après le diner : ","tout le monde regarde la télévision.","V",5.362,"Control","V","",6,"",,,
101,1,"Dans cet hôtel, les clients ne sont pas contents du service :","personne n'aime rien ici.","F",6.138,"Critical1 NC","F","",16,"1NC",,,
101,2,"Dans notre famille on est tous allergique à l'alcool : ","personne ne boit rien dans les soirées.","V",5.082,"Critical1 NC","V","",36,"1NC",,,
101,3,"Tous les profs s'ennuient en conseil de classe : ","personne ne dit rien pendant les réunions.","V",5.483,"Critical1 NC","V","",12,"1NC",,,
101,4,"Il fait vraiment trop chaud aujourd'hui :  ","personne ne fait rien dehors. ","V",5.034,"Critical1 NC","V","",26,"1NC",,,
101,5,"Les profs se plaignent tous que les élèves n'étudient pas pendant les vacances : ","personne ne lit rien en été.","F",5.954,"Critical1 NC","F","",34,"1NC",,,
101,6,"Depuis toujours, cette cantine est absolument infecte : ","personne ne mange rien ici.","V",4.322,"Critical1 NC","V","",5,"1NC",,,
101,7,"Dans ce pays, la monnaie n'a plus aucune valeur : ","personne ne met rien à la banque.","F",5.162,"Critical1 NC","F","",9,"1NC",,,
101,8,"On vient de couper l'électricité et il fait tout noir ici : ","personne ne voit rien dans la pièce.","F",6.075,"Critical1 NC","F","",24,"1NC",,,
101,9,"Dans ce restaurant on trouve toujours quelque chose de bon : ","personne n'aime rien dans les plats proposés.","V",9.715,"Critical2 DN","V","",14,"3DN",,,
101,10,"Chez les jeunes, la consommation d'alcool est effrayante :  ","personne ne boit rien dans les soirées.","F",5.234,"Critical2 DN","F","",22,"3DN",,,
101,11,"Chez nous, les profs veulent tous donner leur avis : ","personne ne dit rien pendant les réunions.","V",6.49,"Critical2 DN","V","",33,"3DN",,,
101,12,"A l'approche des dates butoir, tout le monde travaille dur pour finir à temps :","personne ne fait rien ces jours-là.","F",8.714,"Critical2 DN","F","",3,"3DN",,,
101,13,"Dans cette école exceptionnelle, absolument tous les élèves font leurs devoirs : ","personne ne lit rien pour leurs classes.","F",12.59,"Critical2 DN","V","1",6,"2DN Mismatch",,,
101,14,"Même quand on fait un régime, il faut se nourrir : ","personne ne mange rien pendant un mois.","F",5.154,"Critical2 DN","F","",27,"3DN",,,
101,15,"La plupart des gens amassent un tas de bricoles inutiles :","personne ne met rien dans ses placards.","V",5.417,"Critical2 DN","F","1",18,"2DN Mismatch",,,
101,16,"Les études cognitives nous montrent que même les aveugles ont une vision inconsciente : ","personne ne voit rien du tout.","V",6.322,"Critical2 DN","V","",40,"3DN",,,
101,17,"La rupture avec son copain l'a complètement déprimée : ","Noëlle n'aime rien en ce moment.","V",6.578,"Critical3 NegOb","V","",30,"",,,
101,18,"Quand on sort, il faut un chauffeur sobre : ","Raoul ne boit rien aujourd'hui.","V",3.714,"Critical3 NegOb","V","",23,"",,,
101,19,"Parce qu'elle est très timide, ","Aline ne dit rien pendant les cours.","F",5.467,"Critical3 NegOb","F","",4,"",,,
101,20,"Comme elle est très religieuse, ","Marla ne fait rien le dimanche.","F",4.738,"Critical3 NegOb","F","",10,"",,,
101,21,"Comme elle travaille comme relectrice toute la semaine, ","Marie ne lit rien le week-end.","F",5.243,"Critical3 NegOb","F","",15,"",,,
101,22,"Pour bien digerer, ","les gens ne mangent rien le soir.","V",3.555,"Critical3 NegOb","V","",19,"",,,
101,23,"Comme il est très dépensier, ","Julien ne met rien de coté pour l'avenir.","V",6.42,"Critical3 NegOb","V","",35,"",,,
101,24,"Elle est très intelligente mais elle a la tête dans les nuages : ","Lucie ne voit rien autour d'elle.","F",5.562,"Critical3 NegOb","F","",38,"",,,
101,25,"Quand on s'amuse, on a pas toujours envie de rester sobre : ","personne n'aime l'eau dans les fêtes.","V",5.802,"Critical4 NegSub","V","",8,"",,,
101,26,"Dans ce bar, il y a de l'ambiance et on consomme beaucoup d'alcool : ","personne ne boit d'eau ici.","F",5.674,"Critical4 NegSub","F","",32,"",,,
101,27,"Tout le monde fait très attention pendant ce cours : ","personne ne dit mot pendant une heure.","V",5.026,"Critical4 NegSub","V","",29,"",,,
101,28,"Beaucoup de gens se lèvent très tôt pendant la semaine, ","personne ne fait ça le dimanche.","V",8.77,"Critical4 NegSub","V","",17,"",,,
101,29,"Tous les meubles d'Ikea viennent avec des notices de montage : ","personne ne lit ça en général.","V",8.034,"Critical4 NegSub","V","",2,"",,,
101,30,"Les oeufs sont difficiles à digérer. On en mange plutôt le matin ou le midi : ","personne ne mange ça le soir. ","F",5.722,"Critical4 NegSub","F","",39,"",,,
101,31,"Les mini-jupes sont super à la mode : ","mais personne ne met ça à l'église.","F",3.85,"Critical4 NegSub","F","",21,"",,,
101,32,"Dans la brousse, les gens se promènent tout nu : ","personne ne voit ça ici.","F",5.476,"Critical4 NegSub","F","",13,"",,,
101,33,"Il y a un match de foot cet après-midi :","tout le monde va au stade.","F",3.97,"Control","F","",37,"",,,
101,34,"La leçon d'aujourd'hui n'était pas trop claire :","chaque élève avait des questions de clarification.","V",8.921,"Control","V","",1,"",,,
101,35,"Son ordi est cassé :","Alain va en acheter un nouveau.","F",3.81,"Control","F","",28,"",,,
101,36,"Il fait vraiment très beau aujourd'hui :","tout le monde est dehors.","F",4.138,"Control","F","",11,"",,,
101,37,"Demain, c'est un long week-end :","tout le monde part à la campagne.","V",4.3,"Control","V","",7,"",,,
101,38,"Le printemps est arrivé :","tous les arbres sont en fleurs.","F",2.506,"Control","F","",20,"",,,
101,39,"Aujourd'hui les gens ne se parlent plus face à face :","tout le monde utilise son téléphone portable.","V",4.395,"Control","V","",25,"",,,
101,40,"C'est une habitude chez nous après le diner : ","tout le monde regarde la télévision.","V",3.25,"Control","V","",31,"",,,
102,1,"Dans cet hôtel, les clients ne sont pas contents du service :","personne n'aime rien ici.","F",2.955,"Critical1 NC","F","",32,"1NC",,,
102,2,"Dans notre famille on est tous allergique à l'alcool : ","personne ne boit rien dans les soirées.","V",3.332,"Critical1 NC","V","",15,"1NC",,,
102,3,"Tous les profs s'ennuient en conseil de classe : ","personne ne dit rien pendant les réunions.","V",2.667,"Critical1 NC","V","",26,"1NC",,,
102,4,"Il fait vraiment trop chaud aujourd'hui :  ","personne ne fait rien dehors. ","V",2.378,"Critical1 NC","V","",36,"1NC",,,
102,5,"Les profs se plaignent tous que les élèves n'étudient pas pendant les vacances : ","personne ne lit rien en été.","F",5.516,"Critical1 NC","F","",4,"1NC",,,
102,6,"Depuis toujours, cette cantine est absolument infecte : ","personne ne mange rien ici.","V",4.555,"Critical1 NC","V","",18,"1NC",,,
102,7,"Dans ce pays, la monnaie n'a plus aucune valeur : ","personne ne met rien à la banque.","F",5.53,"Critical1 NC","F","",8,"1NC",,,
102,8,"On vient de couper l'électricité et il fait tout noir ici : ","personne ne voit rien dans la pièce.","F",3.986,"Critical1 NC","F","",21,"1NC",,,
102,9,"Dans ce restaurant on trouve toujours quelque chose de bon : ","personne n'aime rien dans les plats proposés.","V",3.259,"Critical2 DN","V","",29,"3DN",,,
102,10,"Chez les jeunes, la consommation d'alcool est effrayante :  ","personne ne boit rien dans les soirées.","F",3.194,"Critical2 DN","F","",37,"3DN",,,
102,11,"Chez nous, les profs veulent tous donner leur avis : ","personne ne dit rien pendant les réunions.","F",6.163,"Critical2 DN","V","1",35,"2DN Mismatch",,,
102,12,"A l'approche des dates butoir, tout le monde travaille dur pour finir à temps :","personne ne fait rien ces jours-là.","F",6.93,"Critical2 DN","F","",10,"3DN",,,
102,13,"Dans cette école exceptionnelle, absolument tous les élèves font leurs devoirs : ","personne ne lit rien pour leurs classes.","F",6.363,"Critical2 DN","V","1",17,"2DN Mismatch",,,
102,14,"Même quand on fait un régime, il faut se nourrir : ","personne ne mange rien pendant un mois.","F",5.608,"Critical2 DN","F","",5,"3DN",,,
102,15,"La plupart des gens amassent un tas de bricoles inutiles :","personne ne met rien dans ses placards.","V",4.778,"Critical2 DN","F","1",11,"2DN Mismatch",,,
102,16,"Les études cognitives nous montrent que même les aveugles ont une vision inconsciente : ","personne ne voit rien du tout.","V",4.219,"Critical2 DN","V","",25,"3DN",,,
102,17,"La rupture avec son copain l'a complètement déprimée : ","Noëlle n'aime rien en ce moment.","V",4.258,"Critical3 NegOb","V","",33,"",,,
102,18,"Quand on sort, il faut un chauffeur sobre : ","Raoul ne boit rien aujourd'hui.","V",3.634,"Critical3 NegOb","V","",30,"",,,
102,19,"Parce qu'elle est très timide, ","Aline ne dit rien pendant les cours.","F",2.962,"Critical3 NegOb","F","",14,"",,,
102,20,"Comme elle est très religieuse, ","Marla ne fait rien le dimanche.","F",8.713,"Critical3 NegOb","F","",1,"",,,
102,21,"Comme elle travaille comme relectrice toute la semaine, ","Marie ne lit rien le week-end.","F",5.107,"Critical3 NegOb","F","",7,"",,,
102,22,"Pour bien digerer, ","les gens ne mangent rien le soir.","V",2.427,"Critical3 NegOb","V","",20,"",,,
102,23,"Comme il est très dépensier, ","Julien ne met rien de coté pour l'avenir.","V",3.609,"Critical3 NegOb","V","",23,"",,,
102,24,"Elle est très intelligente mais elle a la tête dans les nuages : ","Lucie ne voit rien autour d'elle.","F",4.042,"Critical3 NegOb","F","",38,"",,,
102,25,"Quand on s'amuse, on a pas toujours envie de rester sobre : ","personne n'aime l'eau dans les fêtes.","V",4.226,"Critical4 NegSub","V","",16,"",,,
102,26,"Dans ce bar, il y a de l'ambiance et on consomme beaucoup d'alcool : ","personne ne boit d'eau ici.","F",3.562,"Critical4 NegSub","F","",22,"",,,
102,27,"Tout le monde fait très attention pendant ce cours : ","personne ne dit mot pendant une heure.","V",5.259,"Critical4 NegSub","V","",39,"",,,
102,28,"Beaucoup de gens se lèvent très tôt pendant la semaine, ","personne ne fait ça le dimanche.","V",4.467,"Critical4 NegSub","V","",6,"",,,
102,29,"Tous les meubles d'Ikea viennent avec des notices de montage : ","personne ne lit ça en général.","V",5.17,"Critical4 NegSub","V","",12,"",,,
102,30,"Les oeufs sont difficiles à digérer. On en mange plutôt le matin ou le midi : ","personne ne mange ça le soir. ","F",4.555,"Critical4 NegSub","F","",27,"",,,
102,31,"Les mini-jupes sont super à la mode : ","mais personne ne met ça à l'église.","F",2.995,"Critical4 NegSub","F","",3,"",,,
102,32,"Dans la brousse, les gens se promènent tout nu : ","personne ne voit ça ici.","F",2.578,"Critical4 NegSub","F","",31,"",,,
102,33,"Il y a un match de foot cet après-midi :","tout le monde va au stade.","F",2.235,"Control","F","",13,"",,,
102,34,"La leçon d'aujourd'hui n'était pas trop claire :","chaque élève avait des questions de clarification.","V",3.226,"Control","V","",40,"",,,
102,35,"Son ordi est cassé :","Alain va en acheter un nouveau.","F",1.786,"Control","F","",24,"",,,
102,36,"Il fait vraiment très beau aujourd'hui :","tout le monde est dehors.","F",6.106,"Control","F","",2,"",,,
102,37,"Demain, c'est un long week-end :","tout le monde part à la campagne.","V",2.866,"Control","V","",28,"",,,
102,38,"Le printemps est arrivé :","tous les arbres sont en fleurs.","V",3.059,"Control","F","1",34,"",,,
102,39,"Aujourd'hui les gens ne se parlent plus face à face :","tout le monde utilise son téléphone portable.","V",3.427,"Control","V","",19,"",,,
102,40,"C'est une habitude chez nous après le diner : ","tout le monde regarde la télévision.","V",3.465,"Control","V","",9,"",,,
103,1,"Dans cet hôtel, les clients ne sont pas contents du service :","personne n'aime rien ici.","F",5.027,"Critical1 NC","F","",12,"1NC",,,
103,2,"Dans notre famille on est tous allergique à l'alcool : ","personne ne boit rien dans les soirées.","V",3.307,"Critical1 NC","V","",40,"1NC",,,
103,3,"Tous les profs s'ennuient en conseil de classe : ","personne ne dit rien pendant les réunions.","V",3.417,"Critical1 NC","V","",30,"1NC",,,
103,4,"Il fait vraiment trop chaud aujourd'hui :  ","personne ne fait rien dehors. ","V",10,"Critical1 NC","V","",1,"1NC",,,
103,5,"Les profs se plaignent tous que les élèves n'étudient pas pendant les vacances : ","personne ne lit rien en été.","F",4.868,"Critical1 NC","F","",23,"1NC",,,
103,6,"Depuis toujours, cette cantine est absolument infecte : ","personne ne mange rien ici.","V",4.169,"Critical1 NC","V","",7,"1NC",,,
103,7,"Dans ce pays, la monnaie n'a plus aucune valeur : ","personne ne met rien à la banque.","F",5.071,"Critical1 NC","F","",32,"1NC",,,
103,8,"On vient de couper l'électricité et il fait tout noir ici : ","personne ne voit rien dans la pièce.","F",4.167,"Critical1 NC","F","",17,"1NC",,,
103,9,"Dans ce restaurant on trouve toujours quelque chose de bon : ","personne n'aime rien dans les plats proposés.","V",6.109,"Critical2 DN","V","",2,"3DN",,,
103,10,"Chez les jeunes, la consommation d'alcool est effrayante :  ","personne ne boit rien dans les soirées.","F",4.38,"Critical2 DN","F","",28,"3DN",,,
103,11,"Chez nous, les profs veulent tous donner leur avis : ","personne ne dit rien pendant les réunions.","F",6.429,"Critical2 DN","V","1",20,"2DN Mismatch",,,
103,12,"A l'approche des dates butoir, tout le monde travaille dur pour finir à temps :","personne ne fait rien ces jours-là.","F",5.436,"Critical2 DN","F","",22,"3DN",,,
103,13,"Dans cette école exceptionnelle, absolument tous les élèves font leurs devoirs : ","personne ne lit rien pour leurs classes.","F",7.653,"Critical2 DN","V","1",13,"2DN Mismatch",,,
103,14,"Même quand on fait un régime, il faut se nourrir : ","personne ne mange rien pendant un mois.","V",5.137,"Critical2 DN","F","1",8,"2DN Mismatch",,,
103,15,"La plupart des gens amassent un tas de bricoles inutiles :","personne ne met rien dans ses placards.","V",6.782,"Critical2 DN","F","1",34,"2DN Mismatch",,,
103,16,"Les études cognitives nous montrent que même les aveugles ont une vision inconsciente : ","personne ne voit rien du tout.","F",8.27,"Critical2 DN","V","1",37,"2DN Mismatch",,,
103,17,"La rupture avec son copain l'a complètement déprimée : ","Noëlle n'aime rien en ce moment.","V",5.295,"Critical3 NegOb","V","",39,"",,,
103,18,"Quand on sort, il faut un chauffeur sobre : ","Raoul ne boit rien aujourd'hui.","V",5.967,"Critical3 NegOb","V","",33,"",,,
103,19,"Parce qu'elle est très timide, ","Aline ne dit rien pendant les cours.","F",3.781,"Critical3 NegOb","F","",25,"",,,
103,20,"Comme elle est très religieuse, ","Marla ne fait rien le dimanche.","F",4.231,"Critical3 NegOb","F","",26,"",,,
103,21,"Comme elle travaille comme relectrice toute la semaine, ","Marie ne lit rien le week-end.","F",6.351,"Critical3 NegOb","F","",9,"",,,
103,22,"Pour bien digerer, ","les gens ne mangent rien le soir.","V",3.069,"Critical3 NegOb","V","",18,"",,,
103,23,"Comme il est très dépensier, ","Julien ne met rien de coté pour l'avenir.","V",4.197,"Critical3 NegOb","V","",5,"",,,
103,24,"Elle est très intelligente mais elle a la tête dans les nuages : ","Lucie ne voit rien autour d'elle.","F",4.49,"Critical3 NegOb","F","",15,"",,,
103,25,"Quand on s'amuse, on a pas toujours envie de rester sobre : ","personne n'aime l'eau dans les fêtes.","V",5.687,"Critical4 NegSub","V","",19,"",,,
103,26,"Dans ce bar, il y a de l'ambiance et on consomme beaucoup d'alcool : ","personne ne boit d'eau ici.","F",4.44,"Critical4 NegSub","F","",35,"",,,
103,27,"Tout le monde fait très attention pendant ce cours : ","personne ne dit mot pendant une heure.","V",12.61,"Critical4 NegSub","V","",24,"",,,
103,28,"Beaucoup de gens se lèvent très tôt pendant la semaine, ","personne ne fait ça le dimanche.","V",5.68,"Critical4 NegSub","V","",6,"",,,
103,29,"Tous les meubles d'Ikea viennent avec des notices de montage : ","personne ne lit ça en général.","V",6.392,"Critical4 NegSub","V","",4,"",,,
103,30,"Les oeufs sont difficiles à digérer. On en mange plutôt le matin ou le midi : ","personne ne mange ça le soir. ","F",4.868,"Critical4 NegSub","F","",38,"",,,
103,31,"Les mini-jupes sont super à la mode : ","mais personne ne met ça à l'église.","F",3.612,"Critical4 NegSub","F","",14,"",,,
103,32,"Dans la brousse, les gens se promènent tout nu : ","personne ne voit ça ici.","F",4.503,"Critical4 NegSub","F","",27,"",,,
103,33,"Il y a un match de foot cet après-midi :","tout le monde va au stade.","F",3.687,"Control","F","",3,"",,,
103,34,"La leçon d'aujourd'hui n'était pas trop claire :","chaque élève avait des questions de clarification.","V",4.861,"Control","V","",21,"",,,
103,35,"Son ordi est cassé :","Alain va en acheter un nouveau.","F",3.781,"Control","F","",11,"",,,
103,36,"Il fait vraiment très beau aujourd'hui :","tout le monde est dehors.","F",2.805,"Control","F","",31,"",,,
103,37,"Demain, c'est un long week-end :","tout le monde part à la campagne.","V",3.087,"Control","V","",16,"",,,
103,38,"Le printemps est arrivé :","tous les arbres sont en fleurs.","F",1.575,"Control","F","",29,"",,,
103,39,"Aujourd'hui les gens ne se parlent plus face à face :","tout le monde utilise son téléphone portable.","V",6.989,"Control","V","",10,"",,,
103,40,"C'est une habitude chez nous après le diner : ","tout le monde regarde la télévision.","V",2.753,"Control","V","",36,"",,,
104,1,"Dans cet hôtel, les clients ne sont pas contents du service :","personne n'aime rien ici.","F",8.936,"Critical1 NC","F","",34,"1NC",,,
104,2,"Dans notre famille on est tous allergique à l'alcool : ","personne ne boit rien dans les soirées.","F",4.992,"Critical1 NC","V","1",40,"4NC Mismatch",,,
104,3,"Tous les profs s'ennuient en conseil de classe : ","personne ne dit rien pendant les réunions.","V",5.194,"Critical1 NC","V","",18,"1NC",,,
104,4,"Il fait vraiment trop chaud aujourd'hui :  ","personne ne fait rien dehors. ","V",14.55,"Critical1 NC","V","",8,"1NC",,,
104,5,"Les profs se plaignent tous que les élèves n'étudient pas pendant les vacances : ","personne ne lit rien en été.","F",7.538,"Critical1 NC","F","",12,"1NC",,,
104,6,"Depuis toujours, cette cantine est absolument infecte : ","personne ne mange rien ici.","V",15.55,"Critical1 NC","V","",3,"1NC",,,
104,7,"Dans ce pays, la monnaie n'a plus aucune valeur : ","personne ne met rien à la banque.","F",7.332,"Critical1 NC","F","",24,"1NC",,,
104,8,"On vient de couper l'électricité et il fait tout noir ici : ","personne ne voit rien dans la pièce.","F",7.187,"Critical1 NC","F","",27,"1NC",,,
104,9,"Dans ce restaurant on trouve toujours quelque chose de bon : ","personne n'aime rien dans les plats proposés.","F",14.08,"Critical2 DN","V","1",15,"2DN Mismatch",,,
104,10,"Chez les jeunes, la consommation d'alcool est effrayante :  ","personne ne boit rien dans les soirées.","V",9.022,"Critical2 DN","F","1",37,"2DN Mismatch",,,
104,11,"Chez nous, les profs veulent tous donner leur avis : ","personne ne dit rien pendant les réunions.","F",15.87,"Critical2 DN","V","1",7,"2DN Mismatch",,,
104,12,"A l'approche des dates butoir, tout le monde travaille dur pour finir à temps :","personne ne fait rien ces jours-là.","F",12.53,"Critical2 DN","F","",23,"3DN",,,
104,13,"Dans cette école exceptionnelle, absolument tous les élèves font leurs devoirs : ","personne ne lit rien pour sa classe.","F",7.735,"Critical2 DN","V","1",19,"2DN Mismatch",,,
104,14,"Même quand on fait un régime, il faut se nourrir : ","personne ne mange rien pendant un mois.","V",23.38,"Critical2 DN","F","1",4,"2DN Mismatch",,,
104,15,"La plupart des gens amassent un tas de bricoles inutiles :","personne ne met rien dans son placard.","F",100,"Critical2 DN","F","",31,"3DN",,,
104,16,"Les études cognitives nous montrent que même les aveugles ont une vision inconsciente : ","personne ne voit rien du tout.","F",7.779,"Critical2 DN","V","1",30,"2DN Mismatch",,,
104,17,"La rupture avec son copain l'a complètement déprimée : ","Noëlle n'aime rien en ce moment.","F",11.91,"Critical3 NegOb","V","1",5,"",,,
104,18,"Quand on sort, il faut un chauffeur sobre : ","Raoul ne boit rien aujourd'hui.","F",6.007,"Critical3 NegOb","V","1",20,"",,,
104,19,"Parce qu'elle est très timide, ","Aline ne dit rien pendant les cours.","F",16.79,"Critical3 NegOb","F","",21,"",,,
104,20,"Comme elle est très religieuse, ","Marla ne fait rien le dimanche.","F",4.076,"Critical3 NegOb","F","",33,"",,,
104,21,"Comme elle travaille comme relectrice toute la semaine, ","Marie ne lit rien le week-end.","F",9.97,"Critical3 NegOb","F","",29,"",,,
104,22,"Pour bien digerer, ","les gens ne mangent rien le soir.","V",2.973,"Critical3 NegOb","V","",39,"",,,
104,23,"Comme il est très dépensier, ","Julien ne met rien de coté pour l'avenir.","V",13.62,"Critical3 NegOb","V","",6,"",,,
104,24,"Elle est très intelligente mais elle a la tête dans les nuages : ","Lucie ne voit rien autour d'elle.","F",6.239,"Critical3 NegOb","F","",14,"",,,
104,25,"Quand on s'amuse, on a pas toujours envie de rester sobre : ","personne n'aime l'eau dans les fêtes.","F",32.38,"Critical4 NegSub","V","1",1,"",,,
104,26,"Dans ce bar, il y a de l'ambiance et on consomme beaucoup d'alcool : ","personne ne boit d'eau ici.","F",33.87,"Critical4 NegSub","F","",38,"",,,
104,27,"Tout le monde fait très attention pendant ce cours : ","personne ne dit mot pendant une heure.","V",12.32,"Critical4 NegSub","V","",32,"",,,
104,28,"Beaucoup de gens se lèvent très tôt pendant la semaine, ","personne ne fait ça le dimanche.","V",19.87,"Critical4 NegSub","V","",16,"",,,
104,29,"Tous les meubles d'Ikea viennent avec des notices de montage : ","personne ne lit ça en général.","V",4.664,"Critical4 NegSub","V","",26,"",,,
104,30,"Les oeufs sont difficiles à digérer. On en mange plutôt le matin ou le midi : ","personne ne mange ça le soir. ","F",14.21,"Critical4 NegSub","F","",10,"",,,
104,31,"Les mini-jupes sont super à la mode : ","mais personne ne met ça à l'église.","F",4.409,"Critical4 NegSub","F","",11,"",,,
104,32,"Dans la brousse, les gens se promènent tout nu : ","personne ne voit ça ici.","F",6.551,"Critical4 NegSub","F","",25,"",,,
104,33,"Il y a un match de foot cet après-midi :","tout le monde va au stade.","F",5.696,"Control","F","",2,"",,,
104,34,"La leçon d'aujourd'hui n'était pas trop claire :","chaque élève avait des questions de clarification.","V",3.767,"Control","V","",13,"",,,
104,35,"Son ordi est cassé :","Alain va en acheter un nouveau.","F",3.26,"Control","F","",35,"",,,
104,36,"Il fait vraiment très beau aujourd'hui :","tout le monde est dehors.","F",3.424,"Control","F","",28,"",,,
104,37,"Demain, c'est un long week-end :","tout le monde part à la campagne.","V",4.359,"Control","V","",36,"",,,
104,38,"Le printemps est arrivé :","tous les arbres sont en fleurs.","F",3.407,"Control","F","",22,"",,,
